[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(科技发明类)[作品信息]
固体推进剂硝基胍的连续安全生产工艺,能源化工,常州大学,硝基胍是国防工业中重要的战略物资。本作品开发出一种微通道条件下，以硫酸胍的硫酸溶液与硝酸反应制备硝基胍的连续安全生产工艺，解决了硝基胍生产过程中至关重要的安全问题，废酸产生量与传统工艺相比减少一半。查新结果表明：本作品中的核心技术未见国内外文献报道。本作品已申请中国发明专利两项。
纺织品的超临界二氧化碳无水绳状染色关键技术,能源化工,苏州大学,作品研发了一种超临界二氧化碳无水绳状染色方法。采用特定导布索与被染织物形成新型复合绳状物，并结合提布轮作用在国际上首次实现了超临界二氧化碳高压系统中织物与流体的双重可控循环，从而有效解决了匹染织物不匀性问题，缩短了染色时间；开发了绳状织物无水染色中试放样工艺，加工时无需染色助剂，染后织物无需烘燥，气体与染料均可回收使用。彻底实现了纺织品的无水染色和污染物的零排放，具有十分广阔的推广潜力和市场前景。
基于物联网的自然光-电力混合照明系统,能源化工,西安理工大学,太阳光是一种取之不尽、用之不竭的洁净光源，1个太阳常数1370W/m2的光能相当于14个100W灯的照明能量。将太阳光直接用于照明比将太阳能转化后再进行电力照明要提高3-4倍的效率。在自然光照明不足的阴天，自动启动供电照明，将自然光照明与供电照明相结合，可以更大范围节约能源；如果能实现智能家居照明，将更好提高人们的生活质量。
基于超疏水超亲油材料设计油水分离装置,能源化工,哈尔滨工程大学,此作品是基于超疏水超亲油材料设计油水分离装置。内部的核心装置是超疏水|超亲油多孔泡沫镍网涂层，通过表面润湿性原理，以及三级的分离单元，所得金属滤网涂膜的水接触角可达到154.8°，水滚动角为9°，二碘甲烷的接触角接近0°；对正己烷、汽油、柴油、航空煤油、液压油和水的混合物的油水分离的效率高达99%以上，在飞机和汽车滤清器具有重大的潜在应用和价值。
新型透明陶瓷片作为发光体的高效白光LED器件,能源化工,江苏师范大学,针对当前商品化白光LED发展中凸显的技术局限，本作品采用先进陶瓷制备工艺制得透明陶瓷片替代传统荧光粉作为发光体，并且创新性地在透明陶瓷片中引入弥散分布的第二相和气孔、改进稀土离子掺杂工艺、在器件组装中采用远程荧光激发结构并加入二次光学设计，实现了发光体光提取率的提高及色温调控，制备出光转换效率高、显色指数高、寿命长、色温低且可调等优势的新型白光LED器件，为白光LED的发展提供了新的思路。
凹凸棒石/稻壳活性炭高效复合净水材料的制备和应用,能源化工,常州大学,本项目将稻壳制备成对有机污染物具有超强吸附能力的活性炭，把凹凸棒石粘土制备成对重金属离子具有优异吸附性能的活化粘土，通过一步法复合组装在一起，最终形成一种净化水质的新型复合材料，并应用于饮用水净化及工业废水深度处理中。原料价格便宜，来源丰富，解决了稻壳和凹凸棒石粘土资源的规模利用和高效利用问题，提高了作品附加值。本项目科技含量高、经济效益好、资源消耗低、环境污染少，具有明显的市场竞争优势。
基于防过充和防热失控技术的动力电池快速充电装置,能源化工,盐城师范学院,本项目基于电化学中极化-过电位原理，同时采用大电流抑制析气，变流充电控制及定时充电防热失控技术，成功设计“基于防过充和防热失控技术的动力电池快速充电装置”，已申报两项专利。经验证，该装置可使成组铅酸动力电池循环寿命达1800余次，成组锂离子动力电池循环寿命达1000余次，超过国内外同期水平。该装置已在江苏奥新新能源汽车有限公司，悦达集团有限公司等得到推广应用；对新能源汽车产业的推进具有重要意义。
基于新型TiO2及ZnO纳米结构敏化太阳能电池,能源化工,山东大学,"团队对新型二氧化钛和氧化锌纳米结构的量子点和染料敏化太阳能电池进行研究。量子点方面,退火作用与双敏化作用大大提高了窄带无机半导体材料太阳能电池的光电效率。染料方面，利用天然有机染料萃取液将光电效率提升至1.2%和1.15%。随后生长ZnO阵列，光电效率为2%。将硫化镉量子点敏化到树枝状结构上，光电效率提升0.95%。"
电路板精密微钻孔用新型铝基盖板材料,能源化工,湖南科技大学,本作品通过科学设计与合理选材，成功开发了电路板精密微钻孔用新型铝基盖板材料。本产品被中国电子材料行业专家祝大同先生评价为“生产技术及产品质量已达到国际先进水平”。本作品已申请中国发明专利3项、国际发明专利1项，已通过欧盟RoHS标准环境友好性测试。2012年授权中国最大的盖垫板生产企业进行生产和销售，年销售额高达1亿元。中国PCB前20强企业中有9家正使用本产品，且本产品已销往10多个国家和地区。
化工污泥基填料重金属稳定化研究,能源化工,南京工业大学,化工废水处理过程产生的剩余污泥含多种有机毒物和重金属，属于危险固废。现行的化工污泥处置方式主要是焚烧，而由此产生的焚烧灰渣也属于危废，须送危险废物填埋场安全填埋，企业难以承受高额的处置费用，大量的化工污泥被非法转移、倾倒，严重破坏了生态环境。本作品以化工污泥焚烧灰渣为原料，添加自主研发的S01无机重金属稳定剂，辅以水和粘结剂等辅料，制备出可以用于化工废水处理的新型填料，实现了变废为宝。
生物法降解制药行业典型气态污染物的关键技术研究,能源化工,浙江工业大学,作品针对制药行业废气排放特点和生物法处理废气的难点进行了研究。筛选到了两株高效降解菌，研发了一套新型生物净化工艺，并进行了工程应用。研究获得的四氢呋喃高效降解菌P.oleovoransDT4为目前文献报道的最高降解速率、最短代时的四氢呋喃降解菌。二氯甲烷高效降解菌M.rhodesianumH13的最大比生长速率与文献报道的最高值相当。在工程应用中，处理后废气达到国家相关标准。
电磁振动/剪切耦合作用下半固态金属流变轧制成形,能源化工,东北大学,设计并构建了一种大幅度缩短金属板带材加工工艺流程、降低成本和能耗、提高轧制速度和产品力学性能的电磁振动/剪切耦合作用下半固态金属流变轧制成形装置。基本原理：将熔体在一定温度下浇注到振动波浪形斜板表面，熔体在电磁振动/流动剪切耦合作用下，形核率大幅度提高，形成由细小球形晶和残余液相组成的半固态金属浆料，该浆料直接进入宽展方向受约束的辊缝中进行轧制成形，实现浆料制备与轧制成形的一体化和连续化。
用于精细农业的CO2浓度测量新技术与装置,能源化工,山西大学,在资源日显短缺、农产品国际市场竞争日趋激烈的当今社会，精细农业越来越受到国家的重视，CO2作为精细农业中对农作物产量起决定性作用的因素也越来越受到人们的关注。传统探测手段由于受到水汽浓度以及环境温度等因素的影响无法在精细农业中被推广使用。为解决这一问题，我们创新性的将光学探测新技术与Zigbee无线数据传输技术相结合，针对精细农业的特殊需求研发了一款精度高、使用方便、工作可靠的CO2探测装置。
高显色性LED荧光粉与远程激发白光LED技术研发,能源化工,上海师范大学,优化YAG:Ce3+荧光粉合成工艺，荧光强度相比美国INTEMATIX同类产品提高8.9%，达到国内先进水平。针对“高显色性白光LED”照明领域研发了一系列可调光色温荧光粉，白光色温可从2500K至8500K之间调节。本作品开发了一种“白光LED远程照明”技术，将点光源转换成面光源，发光均匀性、显色性及可靠性更高；同时增加了LED组装灵活性。
新结构功能石墨烯基整体材料的设计与构筑技术方法,能源化工,大连理工大学,本技术发明提出以石墨烯为基本结构单元，从分子尺度和产品工程的角度，耦合真空抽滤、水热、微波等技术构筑新结构高功能石墨烯基整体材料。基于水热耦合真空抽滤定向自组装技术，创制二维柔性石墨烯/过渡金属氢氧化物复合膜整体材料；以乙二胺为组装导向剂，借助冷冻干燥、微波处理技术制备孔隙高度发达和力学性能优异的三维多孔石墨烯宏观体材料；在此基础上，探索石墨烯整体材料在能量存储和污水处理等方面的潜在应用。
新型医用镁基复合植入材料的研制,能源化工,中南大学,本作品设计并制备了一种有良好生物相容性、力学相容性及可控制降解的全营养型医用植入复合材料—Mg-Zn/β-TCP。该材料采用粉末烧结、表面镀膜自主专利技术制备，通过材料力学性能测试、细胞毒性实验、动物植入实验等性能检测，性能优良，可克服现有其他骨修复材料需“二次手术”取出植入体等缺陷，有明确的市场应用前景。中国科学院金展鹏院士评价本作品对开发新型医用材料具有理论指导意义和实用价值。
高性能阻燃秸秆生态板,能源化工,中南林业科技大学,以农作物秸秆为主要原料，结合自主知识产权的无机胶黏剂，在世界上创造性地研制出在建筑、家具等林产品领域可全部替代木材的高性能阻燃秸秆生态板。产品无甲醛释放、达A级防火标准、防水防潮、成本低廉，生产过程节能低碳。一次性攻克困扰秸秆人造板行业发展的一系列技术难题，整体达世界领先水平。申请国家专利18项（3项已授权），发表论文18篇，已广州木易木制品有限公司下属三家企业应用，年新增产值6.7亿元。
锂离子电池负极材料钛酸锂制备关键技术开发,能源化工,上海大学,"本作品采用先进的工艺技术，制备出成本相对低廉，倍率性能良好的钛酸锂，现已建成10吨/年中试生产线，并完成中试试验，产以其为负极材料的锂离子动力电池组也通过了上车实验。产品性能,与国内外同类产品相比，各具特色，但在生产成本和性能上具有很强的竞争力。目前已经和上海航天电源、上海杉杉科技等公司签订合作开发协议，共同努力实现产品的商业化生产。"
石墨烯海绵用作油及有机溶剂的高效吸附剂,能源化工,东南大学,本作品是关于石墨烯海绵高效吸附材料的研发和生产。团队借助自组装成形及冷冻干燥技术相结合的方法，开发出石墨烯海绵高效吸附材料。与现有吸附材料相比，优点为：(1)吸附能力高；(2)该石墨烯海绵能够多次循环利用，对吸附物质的脱附率高于99%；(3)石墨烯海绵;制备方法简单，其形状可控，易于大尺寸制备，产品对环境无二次污染。
柔性聚合物太阳能电池材料制备与器件制作,能源化工,苏州大学,太阳能的光电转换一直是科研界和工业界密切关注的课题之一，相比于传统的无机太阳能电池相比，兴起于20世纪90年代新型的柔性聚合物太阳能电池是具有产品轻便，可通过大面积溶液打印方式生产等独特优势。本项目依托于国家863高技术发展计划，主要从材料源头出发，以用户对电池产品性能要求为导向，解决目前商业化柔性聚合物太阳能电池能量转换效率不高，生产成本昂贵等技术难题。
分子自组装渗透汽化优先透醇膜材料设计及规模化制备,能源化工,北京工业大学,本作品针对现有优先透醇膜分离性能的不足，设计出了一种制备工艺简单、分离效果好、稳定性强的用于乙醇和水分离的渗透汽化膜材料和组件，并成功进行规模化制备。膜材料通过紫外臭氧技术在传统聚二甲基硅氧烷膜表面进行分子自组装改性，膜的疏水性和分离性能显著提高。该方法具有良好的实用价值和极大的推广前景，有望为我国节能减排事业加油助推。
新型储能材料的制备及其性能研究,能源化工,南开大学,面对石油资源的日渐匮乏和生态环境恶化的双重压力，利用氢能这一清洁能源取代以石化燃料为基础的现有能源已成为全球的共识。因此，开发和利用与氢相关的新能源已经被许多国家列为重点研究的内容。近年来，一些过渡金属化合物用作镍基碱性二次电池负极材料表现出良好的电化学性能。其中，Co基硼化物、磷化物容量高、大倍率性能好、循环稳定性出色，但现有的合成硼化物、磷化物的方法还存在一些缺点，需要进一步改进。
分布式发电上网绿色建筑,能源化工,内蒙古工业大学,本项目依托于自有技术专利，开发一整套分布式风光互补发电系统，并考虑太阳能建筑设计一体化，包含太阳能中水循环及饮用水净化系统、风光互补供电系统、地源热泵储能系统、主被动太阳能采暖系统及模块化建筑设计结构。该系统可为沿海岛屿淡水净化、分布式电力供给、农林及边防特种供能活动房等领域提供产品技术及解决方案。目前本项目已在内蒙古工业大学完成中试。
抑制氩氧精炼过程产生喷溅的控制系统研究,机械与控制,长春工业大学,喷溅是冶炼过程中时常发生的现象。喷溅会造成环境污染，产量降低、设备损坏、炼钢成本增加等，严重时会危及人的生命安全。因此，预防和避免喷溅，无论对环境保护、资源利用，还是生产安全都具有重要意义。本作品针对喷溅产生的机理、预报方法和控制策略展开研究。形成了基于多传感器信息融合的喷溅计量方法；构建了模糊控制规则，按照控制规则给出枪位、供氧强度、供氩强度和喷溅抑制剂等控制量，构建喷溅抑制决策系统。
自移式掘进工作面临时支护机器人,机械与控制,中国矿业大学,本作品的目的是研发一种自移式掘进工作面临时支护机器人，实现自动交错式前移，抬网，接顶，能够进行全宽度支护，作业人员始终在支撑框架下方作业，保证了人身安全，提高了我矿机械化支护作业程度，降低了作业人员劳动强度，提高了掘进效率，为作业人员的安全提供了有力保障。
灾区生命线——带有自适应桩基的模块化应急道路系统,机械与控制,中国人民解放军军械工程学院,首次提出了一种基于模块化、自适应设计思想的应急道路快速架设方案。直接在破损的原路面上铺设新的轻量化应急道路模块。对于粒径在50cm以下块石组成的崩塌体，采用专用道路铺设拖车，铺设速度可达60-100m/h；针对地陷、地裂、或粒径50cm以上的较大的障碍物，利用汽车吊，通过“立桩基-搭横梁-铺路面”的方式搭设应急道路。两种模式相互结合，确保救灾人员、设备和物资及时抵达救援现场。
新型并联运动贴装机器人的研制,机械与控制,常州大学,贴装装备是电子表面贴装生产线上最重要的设备之一，其贴装精度与贴装速度的高低直接影响电子产业的发展。针对现有直角坐标型贴装机器人结构刚度低、误差积累、价格昂贵等缺陷，提出、发明基于并联机构的贴装机器人，简称“并联运动贴装机器人，具有机构刚度好、贴装速度快、贴装精度高、性价比高的特点，势必将会对SMT装备的发展起到较好的推动作用。
碳纤维加筋排水抗滑桩边坡支护体系,机械与控制,宁波大学,当前，滑坡灾害频发。抗滑桩和锚杆组成的锚拉组合支护体系在滑坡治理工程中广泛应用。但同时也发现存在一些不足。本项目在传统抗滑桩基础上增设了排水功能，可及时排出土坡中的雨水，增加边坡稳定性；将锚杆锚固段设计为非等径，可提高锚杆的抗拔能力；采用碳纤维材料代替钢筋，可改善防腐蚀性能。总体上，本项目提出的新型支护体系，在排水性能、防腐蚀能力和抗拔能力等方面，均较传统方法有所改善。
α值法自动灌溉系统的研究与应用,机械与控制,兰州资源环境职业技术学院,本作品针对传统人工灌溉系统的不足以及灌溉用水效率低的情况，设计出一套操作方便，造价低，实用性强的自动灌溉系统。该系统是按照作物土壤适宜含水率为上、下限，通过蒸发皿的水位变化监控土壤含水率变化，调控电动蝶阀适时开关给灌溉区供水，适时适量灌溉，提高灌水利用率。
多关节机械臂式远程遥控排爆机器人,机械与控制,安徽大学,本作品集机械、电子和计算机控制技术于一体，以类人机械臂、履带式行走底座和钳夹式手爪为核心，实现了一款远程遥控排爆机器人。与现有的排爆机器人的技术相比，该作品的具有运行平稳、大力矩、操作简单、控制可靠、成本低等显著特点，具有很好的产品化前景。
智能配电网故障GPS行波定位与自愈控制系统,机械与控制,长沙理工大学,本作品智能配电网故障GPS行波定位与自愈控制系统首次实现了配电网故障精确定位、故障智能隔离与供电快速恢复一体化控制，解决了配电网故障自愈核心技术难题，弥补了国内缺乏自愈装备的空白。系统已在太原、济宁和长沙电网试点运行，定位精度50米，自愈时间约1.3分钟，大大减少了停电时间，缩小了停电范围。该系统已投入生产，申请专利5项，社会经济效益显著。
野外植物生理生态监测系统,信息技术,中南民族大学,系统包含感知层、网络构建层、应用层。感知层由终端负责采集植物生长环境参数并监测植物生理状况，将采集到的数据发送至网关；网络构建层由网关负责数据传输网络的构建，考虑系统在野外环境工作，采用3G无线方式构建网络，同时将终端采集的数据发送至环境监测服务器；应用层由WEB服务器和环境监控中心组成，用户不仅能访问监控中心了解植物生长状况，还能登录环境监测中心网页远程发送控制网关和终端的指令。
紧凑型全光纤超连续白光激光光源,信息技术,天津大学,超连续白光激光器能输出超宽光谱激光，其在生物、医学、物理、国防和通信等对低相干光源或光谱分析有高要求的领域上有着重要的应用。项目组利用基于高效率掺镱双包层光纤的孤子锁模运转产生超短激光脉冲，经过放大后耦合到高非线性光子晶体光纤中展宽，实现超连续白光输出。该激光系统采用全光纤结构，在得到稳定输出的同时也保证了整机紧凑性和散热优良性。
便携式心电诊疗设备与远程医疗系统,信息技术,北京信息科技大学,作品设计了便携式心电诊疗设备与远程医疗系统，通过一个便携的小型设备采集心电信号，通过3.5mm耳机接口实时传输给移动平台（如智能手机、平板电脑等），移动平台客户端软件将心电信号传输给医疗机构的远程医疗系统，医生根据心电信号及病历等信息完成对患者的诊断，并给出治疗建议。作品在普及的移动平台上开发软件，充分利用其数据处理、显示和网络传输功能，从而使远程监护心电仪的成本大大降低，具有较好的应用前景。
全自动胶囊表面缺陷检测机,信息技术,武汉科技大学,胶囊缺陷检测是胶囊生产领域的重要环节，为胶囊生产与使用提供重要保证。本设备主要由胶囊传动装置、控制系统、图像采集与图像处理系统3部分组成。胶囊传动装置可使成堆的胶囊能有序地排列；图像采集装置通过光学成像实时捕捉胶囊的图像；被采集的图像进入PC中，图像处理模块可检测出有缺陷的胶囊；控制系统立即将有缺陷的胶囊剔除出生产线。
双极化调频连续波导航雷达,信息技术,中国人民解放军国防科学技术大学,船用导航雷达作为当前雷达技术的重要应用领域，主要用途是在各种能见度极低的天气和海情下，探测与定位海面上的各类目标，为船只提供航线指示和防撞规避等重要信息。本作品针对当前调频连续波导航雷达存在的问题，首次将极化处理技术引入到调频连续波船用导航雷达中，通过双极化发射与接收的工作模式，利用先进的极化信号处理算法，有效抑制了近程海杂波、消除了同频信号干扰，提高了导航雷达对海面微小目标的检测能力。
基于北斗卫星系统的工程机械车辆导航及远程服务终端,信息技术,上海电机学院,基于北斗卫星系统的工程机械车辆导航及远程服务终端设计采用了多模块化、组合式优化设计。关键技术：内置高性能芯片，各模块之间的接口采用标准接口，充分利用系统平台、移动通讯网络等，将工程车的卫星定位、卫星导航、油路检测、液压检测和电压检测等技术指标和功能集于一体，通过无线数据通讯接口，能与监控中心系统进行数据通信和移动位置的定位，能够满足工程现场对工程车的远程监控和远程检测等多种需求。
智能公交监控调度系统,信息技术,哈尔滨工程大学,本套系统主要研究的内容有两个方面：车载终端、远程调度软件。车载终端主有基于ARM6410的中央处理器、网络录像机、GPS报站器、车内电视、LED广告和显示屏、车载键盘、司机监控屏、摄像头等。监控中心的服务器应用程序是公交车调度核心。其涉及的内容有：公交车自动排班、历史轨迹查询、完成情况报表、公交车当前运行情况显示、车辆和司机的信息、公交线路的规划、远程视频监控等。
面向消防、救援、治安的无盲区三维定位及面向消防、救援、治安的无盲区三维定位,信息技术,河北工业大学,本作品涉及一种面向消防、救援等危险作业人员的无盲区三维定位和状态识别技术。本作品避免对加速度观测值积分，而基于行人步行的运动生理学特性，利用行走时加速度波形的周期性特征和统计值与行走速度相关的特点，直接估计行走步长，使其可以使低成本传感器也获得高精度的位置信息，并加入了对电子罗盘的修正方法使其输出方向更为准确，本作品更是采用gps和盲区定位相结合的方式，使其可以长时间准确的输出定位信息。
具有交替层状结构的聚合物基轻质隔声材料,能源化工,四川大学,"本作品是一种具有发泡层/未发泡层交替多层结构的聚合物基轻质隔声材料,解决了传统隔声材料轻质与高隔声量不能兼得的矛盾。产品核心生产技术处于国际领先水平，新颖的交替多层结构在隔声材料应用上更是国内外首创。其隔声量高（25dB，1mm厚）、密度低（1.7g/cm3）、白色环保、阻燃FV0级、力学性能优异。与市场现有隔声材料相比更隔声、更轻质、更环保、更阻燃、更强韧，具有广阔的应用前景和市场效益。"
正负极交替互换式微藻燃料电池,能源化工,东北电力大学,微生物燃料电池极具潜力，本作品拟搭建正负极交替互换式微藻燃料电池：两个极室均填注微藻，阳极光合作用完毕后排出氧气避光发生氧化作用，微藻光合作用积累的葡萄糖等作为还原性物质；阴极继续正常光照，产生的氧气作为氧化性物质。当阳极室的糖类等还原性物质水平降低后，将阴阳极反转。本作品无需添加还原性、强氧化性物质，环保、成本低。
石墨烯柔性超级电容器研制,能源化工,江南大学,本作品围绕着提高超级电容器性能和降低成本展开。采用“等电点”、“物料体内微波共振加热”、“高温热裂解”等方法制备高品质的石墨烯。采用“微波内部发射”制备3D活化石墨烯/双金属氢氧化物，并制备成全固态柔性超级电容器。产品成本低，性能好，合成步骤简单，可显著提高能量密度、功率密度和使用寿命，并可用于柔性手机、显示屏、传感器、电子皮肤等电子消费品。项目完成对提升我国超级电容器水平具有重要意义。
虾加工副产品的高值化综合利用,能源化工,中国计量学院,以虾加工副产品为主要原料，进行综合利用，采用组合高新技术，以超微粉碎技术、生物酶解和热反应技术为核心技术，制备得到天然、香气持久的虾味香料和保健食品-三种最新一代的功能肽：钙结合肽、铁结合肽以及抗氧化肽。
面向LED照明的新型传热材料开发,能源化工,上海大学,LED照明因没有有效散热方式限制了其在通用照明市场中的大规模应用，并且热量剧增严重影响了寿命和性能。因此本作品首次结合导热和散热，制备传热材料——高导热硅胶片和水性散热涂层，胶片填充热源和散热器间缝隙，将热量传引至散热器，涂料喷涂散热器表面将热量散发至外界。性能优于国内同类产品，生产可行，有望替代同类产品。该材料的应用不仅限于LED行业，在其他有升温和热困扰的场合都有着一定的实用价值。
燃料电池用质子交换膜材料的分子设计与应用开发,能源化工,长春工业大学,能源枯竭，环境污染的加重，开发出绿色无污染的新型能源迫在眉睫。燃料电池作为环境友好的新型能源备受关注。质子交换膜作为燃料电池的核心部件直接决定着燃料电池的性能。本项目自主研发出具有独特结构的质子交换膜材料。利用交联、接枝、引入氮杂环等手段构筑具有选择性的离子传输通道，精确调控反应发生程度，解决甲醇渗透与质子传导的矛盾。使得所开发的膜可应用于中高温质子交换膜燃料电池和直接甲醇燃料电池。
基于BIM的地下粮仓虚拟设计,机械与控制,河南工业大学,"地下粮仓是节能、节地、无污染、低损耗的新仓型，本项目首次将BIM技术应用于地下粮仓。3D模型：根据二维图纸信息,创建地下粮仓的三维模型。4D模型：在三维模型的基础上，结合进度计划，得到地下粮仓施工模拟。5D模型：将四维模型与成本造价信息相结合，形成各项资源分配的明细表。进出粮工艺：创建粮食布料器模型，利用PFC模拟进出粮的过程，完成整个工艺流程。"
可折叠爬式脚手架,机械与控制,内蒙古建筑职业技术学院,附着升降脚手架主要由架体结构、附着支座、防倾装置、防坠落装置、升降机构及控制装置等构成.由于是提前生产，可以节省钢材，采用整体的可伸缩支架，用简单的液压系统进行展开，安全，稳定。利用展开为13米×8米的方框进行楼面进行铺面。在铺设脚手板、挡脚板和翻板时进行一次加固，最后在大体结构成型时，再加总体的方形十字锁，进行二次加固，是整个脚手架达到整体性强，安全性高、简单化和人性化。
自适应路面的智能切换轮腿机器人,机械与控制,河南科技大学,本项目设计与研究了一种利用双超声波测距系统，基于路况变化而自动进行轮腿切换的新型小尺寸、轻体重、多用途的机器人。该机器人集中了腿式机器人地形适应性强和轮式机器人机动速度高的优点，可在复杂地形条件下以多种行进步态和多种运动方式完成特殊的机动任务。此外，本项目还可以通过无线数据通信方式，实现了远程遥控机器人的轮腿式前后左右以及切换运动。
单旋翼（三桨）无人直升机,机械与控制,南昌理工学院,单旋翼（三桨）直升机作为多旋翼和旋翼机的布局设计，结合了多旋翼飞行器垂直起降的优点和旋翼机的特点。本作品可以垂直起降，在飞行中可以切换飞行模式依靠旋翼产生升力，不依靠动力也可安全飞行执行任务。依靠自身速度无需动力飞行，增加了航行时间减少了能量的损耗。
多功能承插式EPS板材切割机,机械与控制,吉林农业大学,本项目所设计的切割机，可以全自动实现承插式与造型EPS板材的批量切割。应用传感器技术，智能感知物料位置；应用自动控制技术，以五轴步进带动主轴、三轴联动龙门与卧式龙门的机械运动方式，实现EPS板材承插式的批量切割和造型切割；应用传感器技术与恒流源技术，优化匹配切割丝温度、张紧度及进给速度，实现高效率、高精度、高安全性、低功耗的切割过程。实验表明，比普通切割机效率提高20%，比注塑工艺节约成本67%。
起重机的智能定位防摆系统装置研究,机械与控制,太原科技大学,起重机的智能定位防摆系统装置项目秉承设计、制造、调试可靠准确，最终成果实用性强，性能优越的理念；所研制的智能定位防摆控制系统在多自由度三维空间精确定位、提高工作效率、系统减震、降低能耗等方面，都具有良好的创新性和实用性。该系统由上位机运算处理器、控制器、通信模块、MPU-6050模块、伺服电机系统等组成。实验结果表明，该系统装置在要求高工作效率、高定位精度的起重机作业领域广泛的应用前景。
适时四驱轮式驱动联网电动汽车,机械与控制,长沙理工大学,适时四驱轮式驱动联网电动汽车（iECar）采用轮毂电机驱动，基于电传动线控技术，可以方便地实现前轮驱动、后轮驱动或者四轮驱动。与内燃机驱动系统和集中驱动电动系统相比，轮毂电机驱动系统在动力源配置、底盘结构等方面有其独特的技术特征和优势；适时四驱（i-4WD）与联网（Car2X）功能的实现，不仅有效提高了车辆的主动安全性，而且可通过优化车辆的行驶工况改善车辆的能源利用率。
抗晃电智能交流接触器,机械与控制,福州大学,将斩波控制技术引入到交流接触器智能控制中，设计了一种闭环斩波起动的交流接触器智能控制模块，使交流接触器具有闭环直流起动、闭环直流保持、抗电压跌落等功能，进一步增强其工作可靠性，满足了企业对大容量抗电压跌落交流接触器的需求。本发明为国家自然科学基金项目的部分内容，围绕本发明发表了3篇一级学报期刊（EI全文收录）和其他4篇核心期刊论文。共申请了9项国家发明专利，其中2项已授权，7项进入公示阶段。
基于Android操作系统及物联网技术的智慧数字农场综合控制系统,信息技术,云南大学,本项目设计了一套实际应用于多个大棚农场环境下的综合智能监控系统，该系统以农场中各大棚的作物生长环境检测和控制、远程服务为目标，运用了多种无线技术(ZigBee、蓝牙、WIFI)，并且依靠基于Android和ARM的嵌入式技术实现了上述目标
西域数字博物馆的设计与开发,信息技术,塔里木大学,本作品以塔里木大学西域文化遗产博物馆为研究对象，利用3DSMAX软件，基于三维建模技术及灯光表现技术，将西域文化遗产博物馆的相关场景、文物、图片等在计算机中虚拟展现。本作品为研究和推广西域文化提供了一个重要平台。
分布式地震预警云监测网络系统,信息技术,哈尔滨理工大学,本系统提出了一种全新的地震预警方法，设计了民用型和公用型两种地震波监测无线终端装置，建立密集的分布式地震云监测网络。每个监测终端实时测量地震信息，上传至中心服务器，结合地理位置进行分析，可以在地震发生后，即时确定震中和震级，在传统预警方式的纵波到来之前发出预警信息，从原理上大大突破了预警的时间限制。民用型还具有日常功能、预警接收、震后求生等特殊设计，大大提高了人员生存率，提升了地震预警水平。
新型小容量绿色能源发电系统,能源化工,大连工业大学,“新型小容量绿色能源发电系统”主要应用于家庭和中小型企事业单位，该系统最大的创新点是系统能源利用率高、转换率高，可大范围利用自然资源，风光互补发电系统是一种将光能和风能转换为电能的装置。传统的风力发电和太阳能发电在资源利用上有其自身的缺陷，有些地区日照时间短或风力不足，单独使用风力发电或太阳能发电不能满足供电的需要。该系统可以弥补风电和光电独立系统在资源上的不平衡性和不稳定性，保证供电可靠性。
太阳能藏汉双语智能节水灌溉系统设计,信息技术,西藏大学,利用太阳能这种绿色能源，采用单片机模糊算法控制和土地湿度区域化监测管理及灌溉方式，运用自行设计的传感器模块降低其成本实现全自动化运行，比现有的大多数灌溉设施更加节水节能。使用日益成熟的无线技术实现农业信息的远程监控。可与城市绿化、草场、温室大棚等灌溉设施配套应用，将降低使用化石能源电力及人力资源的投入成本提高水资源的利用率。并添加藏汉双语人机界面和语音播报，结合当地特色适用于藏区使用。
高分辨率高帧频CCD航空相机,信息技术,云南师范大学,本项目以CCD为图像传感器，设计了一款具有百万像素，每秒60帧的军用特种摄像机，并附带高速自动电子快门、图像镜像以及高温疵点补偿等一系列先进图像算法。此项目有效填补国内空白，为我军装备国产化、自主化做出了巨大贡献，受到兵器某研究所与军方代表的一致好评。
基于众源位置签到大数据时空挖掘的全息制图方法,数理,武汉大学,本项目提出了一种全新的地理信息获取与更新模式，让每一个非专业大众参与到测绘地理信息中，使动态、及时、有效地更新海量测绘地理空间信息资源成为可能。以来自社交网络的海量地理数据为研究对象，提出一套面向位置签到地理大数据的在线动态高效获取、质量分析和时空数据挖掘处理方法，研究并设计开发相应软件系统，实现基于位置签到大数据时空挖掘的全息制图，打造一种全新的地理信息获取与更新模式，服务于智慧城市建设。
基于核桃青皮色素的染发剂研制,生命科学,吕梁学院,用热浸法从核桃青皮中提取色素，在对其物理、化学和生物学性质检测后，进行基于核桃青皮色素的染发剂研制。研究表明；该色素提取方法简单、易于操作；各色素溶解性和物理、化学及生物学性质稳定性较好，适合染发剂开发，是一种较好的优质天然色素。
葡萄根区土壤水分空间优化滴灌技术,生命科学,石河子大学,作品针对现有葡萄滴灌模式的不足，设计出一种在葡萄棚架下沿行布置两根滴灌带，葡萄棚架下外侧布置一条地下滴灌带的滴灌模式。作品解决了常规式滴灌模式下土壤湿润体空间分布不均匀，不符合葡萄根系生长的缺陷，同时解决了田间中耕、打药，葡萄冬季掩埋等问题。该技术提高了葡萄的水肥利用率，既起到保护生态、节水、增产、抑制杂草的作用，又能保证在生产中不增加劳动力和生产成本，对滴灌理论与技术进行了拓展。
