[作品信息]作品名称,[作品信息]小类(二级分类),[类别信息]高校,(自然科学类)[作品信息]简介
铀矿土壤重金属污染与铀富集植物富集特征研究,生命科学,东华理工大学,建立了用于植物体铀含量快速检测的“亚钛还原钒酸铵微量滴定法”及实用新型微量滴定管，该方法测铀范围涵盖铀矿矿区所有待测植物体。采用四种污染指数法综合评价某铀矿矿山三个不同样地土壤重金属污染状况，初步统计铀矿污染土壤上的植物种类及铀富集植物富集特征。采用盆栽试验，发现白萝卜耐铀性很强。在用白萝卜进行改良试验研究中发现，以添加柠檬酸的白萝卜铀富集能力是空白对照组的52倍，很有推广应用价值。
食品中苏丹红类染料的多残留免疫检测技术研究,生命科学,河北农业大学,本研究在国内外首次制备了苏丹红4号的单克隆抗体，建立一种间接竞争酶联免疫吸附法（ELISA）用于检测食品中的这6种染料。以3-甲基-4-氨基苯甲酸和邻甲基苯胺为原料合成一种中间半抗原，再与β-萘酚反应合成了半抗原。采用杂交瘤技术制备的单克隆抗体能同时识别这6种染料，实验结果不管是在精确度、准确度、灵敏度上均有不错的结果。
埃及伊蚊抵御Bt菌株LLP29侵染的转录组分析及其关键基因功能鉴定,生命科学,福建农林大学,本项目以登革热的重要媒介埃及伊蚊和高效杀蚊Bti菌株LLP29为研究对象，利用荧光显微技术和Illumina高通量测序技术平台，集成基因组学和转录组学，从个体水平到转录水平建立埃及伊蚊幼虫肠道细胞抵御LLP29相关途径，并构建调控网络，进而阐明与幼虫抵御Bt侵染相关关键基因的功能，从而揭示埃及伊蚊对Bti的抵御机制。
非促分裂型酸性成纤维细胞生长因子治疗脊髓损伤的研究,生命科学,温州医科大学,本作品应用基因工程的方法，去除野生型酸性成纤维细胞生长因子N端27个氨基酸组成的核转位序列，得到改构体酸性成纤维细胞生长因子。实验结果证实，改构体酸性成纤维细胞生长因子可以抑制脊髓损伤后细胞的凋亡，从而保护神经元，减轻损伤。作为一种去除了aFGF丝裂原活性的非促分裂的酸性成纤维细胞生长因子，保留了对神经的保护作用，同时消除了致瘤的危险性和不良反应。
冰毒成瘾的防与治--青春期环境和成年期药物干预作用的探究,生命科学,宁波大学,长期使用冰毒引起脑结构和功能不可逆的损伤，共患精神病比例极高。作品探索姜黄素和青春期环境对成年期冰毒奖赏动机和复吸作用。姜黄素对冰毒奖赏动机无显著影响，但显著增加冰毒自身给药的重建。青春期丰富环境降低了冰毒自身给药获得和线索诱导的重建。实验研究不仅为临床上使用抑郁药物治疗冰毒成瘾的有效性提供客观而重要的依据，并对早期环境综合防治冰毒成瘾具有极为重大的意义。
斑翅肩花蝽布丁人工饲料的饲养效果评价,生命科学,北京林业大学,本文以铁杉球蚜的主要天敌斑翅肩花蝽为对象，用主要成分为蛋白质、脂肪、碳水化合物的原料配制布丁人工饲料，在实验室以铁杉球蚜作对照，用布丁人工饲料饲养斑翅肩花蝽，通过对斑翅肩花蝽若虫发育历期、存活率、繁殖力的测定及其若虫和成虫林间捕食量调查。结果显示林间释放用布丁人工饲料饲养的斑翅肩花蝽，若虫和成虫均有效捕食铁杉球蚜。因此，斑翅肩花蝽用布丁人工饲料饲养繁殖，可实现大面积生物防治铁杉球蚜需要。
姜黄素调控肝脏大麻素受体与血管生成抗肝纤维化新机制研究,生命科学,南京中医药大学,肝纤维化病理机制复杂，临床缺乏有效治疗药物。姜黄素以多途径、多靶点的作用特点对该病的治疗有综合优势，但作用机制不明，严重制约其开发与应用。研究表明大麻素受体介导慢性肝病的病理过程，是抗肝纤维化的潜在靶点。最新发现肝纤维化也与血管生成密切相关，抑制肝脏病理性血管生成是防治肝纤维化的新策略。本作品立足该领域最新研究成果，从调控大麻素受体与病理性血管生成两个全新角度，创新研究姜黄素抗肝纤维化的作用机制。
亚慢性砷暴露对小鼠脑组织TR表达的影响,生命科学,大连医科大学,本实验为观察砷对小鼠神经行为及脑组织TR各亚型基因和蛋白表达的影响，探讨TR表达变化与CaMKⅣ表达之间密切关联性。采用行为学试验测试砷暴露小鼠的学习记忆能力，用基因芯片技术和定量PCR技术检测小鼠TR基因的差异表达，并用蛋白印迹法和免疫组化方法检测TR蛋白表达水平及在神经组织的表达分布。得出砷暴露可诱导小鼠学习记忆能力下降和下调TR基因和蛋白表达。TRβ1可能是砷的神经毒作用靶基因。
秦川牛PSMC1和H-FABP基因的SNP及其对体尺与胴体性状的影响,生命科学,西北农林科技大学,该项目于省农业分子生物学重点实验室“分子数量遗传与育种”实验室进行，自2010年6月开始试验，至2012年9月完成。本研究以PSMC1、H-FABP基因作为目标基因，采用PCR-SSCP结合DNA测序技术，检测到PSMC1、H-FABP基因的SNP位点，并运用SPSS统计软件中的GLM模型，分析研究其位点与秦川牛体尺及胴体性状的关联性，为秦川牛的选育和种公牛的评价提供了理论基础和技术途径。
阿司匹林和两性霉素B对念珠菌生物被膜联合作用的探究,生命科学,山东大学,念珠菌生物被膜形成后侵袭力和耐药性的增加给生物被膜相关感染的治疗带来极大困难。本研究通过完整方法体系从体外实验和动物实验两方面证明了两性霉素B和阿司匹林联用对于念珠菌生物膜治疗的巨大协同作用和潜在临床应用价值，并通过PCR技术对联用机制进行初步探究。本研究的成功进行为基于生物被膜的真菌感染的防治提供了新的治疗思路，即以非抗生素和抗生素联用治疗生物膜感染，这具有广阔的探究空间和临床意义。
药物临床Ⅰ/Ⅱ期无缝自适应设计方案及其应用,生命科学,西安财经学院,Ⅰ期和Ⅱ期临床试验研究质量的高低和研究周期的长短对整个药物研发临床研究起着关键性作用。本项目以贝叶斯统计方法为理论工具，对新药临床试验设计领域中的Ⅰ/Ⅱ期无缝设计进行研究，探索提出更加伦理、高效的贝叶斯自适应Ⅰ/Ⅱ期无缝试验设计方案。
一种抗氧化的高效低毒树枝状纳米仿生酶的制备与应用,生命科学,华东师范大学,该作品用树形高分子包裹铂纳米颗粒，制备合成了一种高效低毒的人工过氧化氢酶模拟物——树枝状纳米仿生酶，并首次验证了其高效的催化活性、显著的ROS清除效果和良好的生物相容性，对细胞氧化性损伤引起的疾病如心血管疾病、糖尿病等具有很好的应用前景。
中国涡虫三肠目1新纪录科1新种及单肠目3新种,生命科学,深圳大学,首次报道中国涡虫三肠目海栖亚目1新纪录科（宫孔科）米罗涡虫属1新种及单肠目达氏科杰氏涡虫属3新种。首次详细描述了分布于淡水与微咸水生境的深圳米罗涡虫新种的地理分布、食性、行为、繁殖、个体发育、组织结构、分类性状、18SrDNA序列测序比对数据等。首次阐明了米罗涡虫属的鉴别特征。本研究在《动物分类学报》2013年第2期发表论文2篇，在国际SCI期刊《Zootaxa》发表1篇，参赛者为第一作者。
青藏高原拟步甲的自然选择与适应进化,生命科学,河北大学,青藏高原是世界地理气候极为恶劣的地区，高原面十分贫瘠却孕育了种类丰富、适应能力极强的生物类群。本文以青藏高原物种最具代表性的鞘翅目拟步甲类昆虫为研究对象，围绕其在青藏高原的物种多样性形成、区系组成、垂直分布、种类强烈分化及其在高寒缺氧环境下的生存之道等重要科学问题，依据进化生物学理论和大量标本实证，重点揭示其体长、体色、防御腺、小生境选择等生物学特性，探讨了该类群的自然选择特性和适应进化机制。
T-DNA标签法克隆参与控制水稻叶色的OsGUN4基因,生命科学,扬州大学,隐性黄叶水稻在杂交稻生产中具有重要的用途。本研究从籼型杂交稻重要保持系龙特甫B来源的转基因后代中获得一份淡黄叶突变体ygl-11，对其进行了表型和遗传分析，发现该突变性状受一对隐性基因控制、并与T-DNA共分离。通过创新的PCR技术克隆了T-DNA插入的旁邻序列和目的基因OsGUN4。相关研究结果为进一步解析OsGUN4基因的功能奠定了基础，也为其在育种中的应用提供了重要参考。
南极微生物GST的基因克隆、表达及活性研究,生命科学,哈尔滨工业大学(威海),由于南极独特的地理位置和气候条件，生存于其间的微生物必然具备特殊的抗氧化机制。谷胱甘肽硫转移酶（GST）是一种重要的抗氧化酶，研究表明，经人工诱导等方法提高生物体内GST酶活力后，可增强生物自身抗逆能力。本课题以南极微生物Pseudoalteromonassp.为材料，对GST基因进行克隆、表达及酶活分析，期望从分子水平完善南极微生物对极端环境的适应机制，同时为抗逆基因工程提供新的基因。
Cofilin及其活性调节机制研究,生命科学,西北农林科技大学,本项目通过检测小鼠海马发育不同时期Cofilin及其磷酸化状态调节基因的表达量变化模式，通过超表达、点突变、细胞培养及转染、WB、鸡胚活体电转、免疫荧光染色等技术对Cofilin活性调控机理及其对细胞运动性和神经元迁移的影响进行深入研究。
FGF8对人类牙齿器官发育速率的调控作用,生命科学,福建师范大学,发育和分化周期是人和小鼠牙齿发育的主要差异之一，小鼠牙齿发育周期约为20天，而人类则长达400多天。本研究发现FGF8可能是调控人类牙齿发育周期的关键因子之一，通过促进细胞增殖，抑制分化，延缓牙齿发育进程。研究结果为理解人类牙齿发育机制提供了新的实验数据，对克服人类器官发育周期长、不利于组织修复技术的建立等障碍，对组织工程等临床应用技术研发有重要科学意义。
微囊藻毒素microcystin-LR的生殖毒性机制研究,生命科学,华中农业大学,本研究选用了模式生物大鼠和斑马鱼作为研究对象，探讨了微囊藻毒素MC-LR的生殖毒性机制，首次提出细胞骨架损伤和线粒体功能紊乱相互影响，通过ROS通路，最终引起细胞凋亡的生殖毒性机制，并且发现雌性斑马鱼比雄性对MC-LR更为敏感，首次论证MC-LR没有环境雌激素效应。本研究不但揭示了MC生殖毒性的分子机制，而且为蓝藻污染地区的流行病学研究和水生动物多样性的保护提供重要理论指导。
基于高通量测序数据的长非编码RNA和微RNA基因功能调控网络的研究,生命科学,中山大学,长非编码RNA（lncRNA）和微RNA（miRNA）是真核细胞内两类重要的非编码RNA。本项目通过对新一代测序数据特性的系统研究，设计和开发了全新的数据库ChIPBase和两个基因组浏览器：deepView和genomeView。我们部分工作已经发表在NucleicAcidsRes.[SCI影响因子:8.026]杂志上。
山楂叶总黄酮对血管性痴呆大鼠学习记忆的作用及机制研究,生命科学,承德医学院,本研究以山楂叶总黄酮(TFHL)为干预手段，永久性双侧颈总动脉结扎法制备血管性痴呆(VD)模型。通过水迷宫、免疫组化、单宁酸-氯化铁染色等方法检测大鼠学习记忆能力、细胞凋亡和微血管密度等指标，探究TFHL对VD大鼠学习记忆的影响及机制，并筛选TFHL相对最佳有效剂量。实验结果证实：1、TFHL可改善VD大鼠学习记忆障碍；2、确定了TFHL相对最佳有效剂量(TFHL140mg/kg)。
基于体内代谢机制的灯盏乙素苷元衍生物的设计、合成及生物活性研究,生命科学,南京中医药大学,心脑血管疾病用药已成为当今世界新药研究与开发最热门领域之一，研究证明，灯盏花素对于治疗缺血性心脑血管疾病、中风后遗症有很好的疗效，本作品针对其主要活性成分灯盏乙素体内代谢产物多、药理作用机制不明确，体内代谢快、作用时间短、溶解度不理想、生物利用度低等问题进行研究。通过设计、合成代谢稳定的灯盏乙素苷元衍生物以改善其理化性质，提高其生物利用度，为获得具有自主知识产权的抗血栓、抗凝血候选药物提供基础。
miR164c和miR168b的表达与水稻种子活力的相关性研究,生命科学,湖南师范大学,本研究探讨miRNA的表达差异与水稻种子活力的相关性，通过对不同活力种子的胚中miR164c和miR168b的表达量进行相对定量分析，初步推测miR164c和miR168b的表达量与调控水稻种子活力的变化相关，但它们的调控机制可能存在差异。
MGF对应力刺激不足损伤组织修复调控作用的研究,生命科学,重庆大学,根据“应力-生长关系”原理，研究“力响应分子”—力生长因子(MGF)在以韧带和骨为代表的应力需求型软硬组织功能性修复中的作用。为解决应力刺激不足导致修复延迟、不修复或修复后易二次损伤的医学难题提供新思路，也为MGF作为促损伤修复类生物药物的开发利用提供科学证据。
藏鸡源产酶芽孢杆菌的分离、鉴定与筛选,生命科学,西藏大学农牧学院,芽孢杆菌属作为人类和动物的益生菌已得到广泛的应用，本研究拟筛选出产酶活性好的芽孢杆菌以提高动物饲料利用率。本试验以藏鸡作为筛选的菌源，通过热处理分离出72株芽孢杆菌菌株，检测菌株的纤维素酶、蛋白酶、淀粉酶、脂肪酶和植酸酶活性，研究发现不同的菌株产酶活性差异较大，结合菌株抑菌试验研究，发现菌株CB-11具有较高的产酶活性，又有广的抗菌谱，可作为候选益生菌菌株，但其应用效果还需通过体内试验进一步确定。
慢性胃炎中医问诊信息采集及智能评估系统研制,生命科学,上海中医药大学,本系统是在对慢性胃炎患者中医问诊信息规范化采集基础上形成的集数据储存、共享，量化评估，自我健康管理等功能于一体的软件。系统可为慢性胃炎患者提供专业健康指导意见，体现中医针对脾胃系疾病“三分治七分养”特色。项目旨在促进慢性胃炎个体健康管理服务新模式建立，加强病人自身防护意识，量化评估模型的建立可为准确判断疾病发生、发展及预后提供依据，为中医诊断客观化及规范化研究提供参考。
大气环境污染对乳腺癌影响的研究,生命科学,山东大学,随着我国经济的高速发展，在人们享受到经济高增长恩惠的同时，严重的大气环境污染问题和乳腺癌高发高死亡问题也随之而来。因此本研究对空气污染与乳腺癌的关系进行了初步探究。通过采用临床流行病学、医学统计学、分子细胞生物学、遗传学等多种研究方法，研究结果表明长期的大气环境污染很可能会诱发人群中女性遗传物质改变，影响基因多态性，进而影响人群中乳腺癌的发展，造成严重的公共卫生安全问题。
华南前寒武系～寒武系过渡层生命演化新证据,生命科学,长安大学,扬子地台北缘早寒武世梅树村阶磷质地层序列清晰、化石丰富，为研究寒武纪生命大爆发提供了宝贵资料。最近作者在陕西省西乡县张家沟地区发现了丰富的早寒武世化石标本，在“西乡生物群”中发现若干分枝藻，并建立了其较完整系列；首次发现包括鳃曳动物在内的若干生物新种；通过对四方塔型壳的研究，进一步完善了四幅射对称的Quadrapyrgites个体演化序列；为展现“寒武纪大爆发”生命世界全景提供了丰富的实证。
稻瘟病菌生防细菌的筛选及抑菌机制初步研究,生命科学,安徽农业大学,针对目前生产上多数稻瘟病菌出现抗药性、化学农药污染环境并影响食品安全以及推广品种抗病性易丧失等问题，本研究有针对性地筛选出对稻瘟病菌有显著抑制作用的细菌并对其代谢液等开展抑菌效果及热稳定性研究，为进一步开发用于稻瘟病防控的生物农药提供科学依据。
H-E-V联用新技术--快速获取经方“三黄泻心汤”中的化学成分,生命科学,海南大学,以中医方剂中天然化合物为模板，采用“分子杂交”和“逆合成分析”法，构建出海量化合物数据库，为新药筛选提供药源。以三黄泻心汤为例，通过分子杂交、分子切割和重组，得虚拟化合物库；然后使用H-E-V联用技术，获得其中的化合物；再用分子对接，预测其中的活性化合物及其作用靶标，阐明其疗效的物质基础。该法不仅能够构建海量化合物数据库，而且可以推广到其他中医方剂中，为中医方剂二次开发提供了一条可行的思路。
重组大肠杆菌全细胞催化不对称合成(S)-CHBE的研究,生命科学,南京工业大学,他汀类药物是一种治疗心血管疾病的常用药物，(S)-CHBE作为其关键手性中间体，在他汀类药物合成过程中占据了重要地位。本作品利用生物催化制备手性化合物具有高效率、高光学活性、反应条件温和以及经济效益好的优势，以计算机虚拟筛选能够催化潜手性底物COBE制备(S)-CHBE并拥有自主知识产权的关键酶为突破口，并针对其产业化放大的难点，对建立高效的辅酶原位再生体系和低成本的多相反应催化体系进行深入研究。
-早花突变枳及其野生型成花转变期成花发育相关基因转录活性的分析-,生命科学,华中农业大学,通过转录组测序技术分析早实枳及其野生型在成花转变阶段基因表达活性，利用酵母双杂交技术分离早实枳早花基因PtF-BOX的互作蛋白并进行了功能验证。
miRNA-203调控ASBT基因燃烧脂肪治疗肥胖新机制,生命科学,哈尔滨医科大学,本课题首次发现了miR-203对ASBT表达的抑制作用，通过在细胞水平和大体水平内验证miR-203对ASBT表达的抑制作用，进一步阻断胆汁酸的肝肠循环，最终达到减肥、降血脂的功效。我们的新靶点不仅能够有效燃烧脂肪、降血脂，还能明确miR-203可在临床应用中作为肥胖发生的预警因子和血清标记物，具有广阔的转化医学应用前景，将产生极大的实际意义。
探究致癌重要分子MTDH和SND1在胶质瘤中的作用,生命科学,哈尔滨医科大学,脑胶质瘤的分级诊断尚缺客观有效指标，现有治疗都存复发，患者生存率低。研究报道MTDH和SND1参与多种肿瘤发生发展，但二者在胶质瘤中的作用尚不明确。本课题探究MTDH和SND1在胶质瘤中的相互作用，评估二者能否各自及联合作为分级诊断指标。IHC显示二者在胶质瘤中都过表达且与级别相关；COIP证明二者在胶质瘤中相互作用；过表达MTDH使得SND1表达增加，初步分析MTDH会影响SND1表达。
RGD模序肽修饰人血管内皮生长抑制因子(RGD-VEGI-192)的双靶向性抗肿瘤功能研究,生命科学,中山大学,本作品以αvβ3整合素为肿瘤靶标，RGD模序肽为肿瘤靶向载体，VEGI-192蛋白为效应分子，成功制备了重组蛋白RGD-VEGI-192，并采用一系列体内及体外实验证明了RGD-VEGI-192蛋白的双靶向性抗肿瘤功效。双靶点的设计，巧妙的整合了VEGI-192的抗肿瘤血管新生作用及RGD介导直接抗肿瘤作用，使其在抗肿瘤活性和特异性上都有了质的突破，为多靶向抗肿瘤治疗的研究提供了新思路。
应用合成生物学手段构建帕金森症药物左旋多巴工程菌,生命科学,天津大学,左旋多巴是治疗帕金森症的主要药物。本研究采用合成生物学手段，设计了4-羟基苯乙酸-3-单加氧酶基因hpaBC表达盒，构建了以L-酪氨酸为底物合成左旋多巴的工程菌。研究了透明颤菌血红蛋白基因vgb对催化L-酪氨酸生成左旋多巴效率的影响，通过添加抗坏血酸优化发酵工艺。将表达载体pBET1导入高产L-酪氨酸的大肠杆菌BKT5菌株，实现了从葡萄糖一步发酵合成左旋多巴。
高糖环境对鸡胚心血管发育的影响,生命科学,暨南大学,本项目通过建立高糖鸡胚模型，模拟妊娠糖尿病患者胎儿的生长发育环境，重点关注心脏和血管，通过免疫荧光、石蜡切片、体外培养、细胞培养等从细胞核分子生物学角度确定高糖对胎儿心血管系统的影响及其致病机理。为妊娠期糖尿病胎儿心血管的临床研究提供理论基础，且稳定的鸡胚高糖模型可以为进一步的妊娠期糖尿病研究提供实验基础，实验所发现的致病机理还能为针对性的治疗方法提供理论依据。
腰椎间盘突出症影像诊断及介入治疗的系统评价,生命科学,川北医学院,世界上多达60%-80%的人曾遭受腰椎间盘突出症（LDH）引起的腰背痛困扰，临床如何选择最有效的诊疗方式变得尤为重要。为此，本课题组检索了国内外各主要数据库从1982年1月至2012年1月以来关于LDH的CT、MRI、CTD(CT椎间盘造影)诊断及臭氧、胶原酶、臭氧联合胶原酶治疗的所有的相关文献，运用Meta分析模型进行系统评价，为临床合理决策诊断和治疗方式提供循证医学证据。
丝素蛋白制备新型药物载体研究及运用,生命科学,中国人民解放军第三军医大学,蚕丝是天然大分子聚合物，具有良好的亲和性，无毒、无污染、无刺激性、组织相容性好，应用于体内安全；具有良好的生物可降解性，可塑性强。近年来，基于丝素蛋白的缓控释系统已作为国际缓释领域的研究热点之一。研究表明，不同溶解体系中丝素蛋白的溶解性和稳定性有差异。本研究运用不同的钙醇系统对天然丝素蛋白的空间构象进行改造，为筛选合适的药物缓释载体提供一定的理论依据，也为开发相关产品奠定研究基础。
干预溶酶体功能对顺铂细胞毒性的影响及其机制,生命科学,吉林医药学院,肿瘤作为人类难以攻克的疾病，已经越来越受到大家的关注，而肿瘤细胞的特殊性又让它难以被彻底有效的杀死。本实验通过加入药物氯化铵（NH4CL）、阻断细胞溶酶体途径，增加顺铂的细胞杀伤作用，以期为顺铂联合应用提供新的参考。
sox基因在性别决定过程中的作用研究,生命科学,浙江大学,本文从五类脊椎动物的性别决定类型为切入点，以生物信息软件分析为方式，对Sox9基因和五种脊椎动物性别决定基因进行蛋白序列分析比对并绘制出进化树，来了解相关蛋白序列在进化中的关联性和功能的共通性。在此基础上，以人和小鼠为重点，探讨睾丸决定的分子开关Sry基因、睾丸分化的关键基因Sox9基因以及与性别决定相关的上下游基因在人和小鼠性别决定机制中的级联调控形式，并将其相互作用以通路图的形式绘制出来。
嗜盐菌和耐盐菌的分离及其复合菌剂处理污水效果的研究,生命科学,江苏师范大学,从连云港盐田采集卤水，分离筛选后获得嗜盐古菌、嗜盐细菌和耐盐细菌。提取总DNA后采用通用引物扩增16SrRNA基因，克隆后对其进行测序与序列分析，通过同源性比较，对所分离古菌与细菌进行分子发育学分析与分子鉴定，获得其分类学地位。通过嗜盐菌与耐盐菌配伍组合，构建耐盐复合微生物菌剂。将菌剂添加于SBR模拟反应器、生物滤床、生态浮岛与蔬菜腌制污水中，检测其对污水的处理效果。
Wnt5a对黑色素细胞增殖和黑色素合成的影响探究,生命科学,中国人民解放军第三军医大学,本文利用Wnt5a腺病毒感染melan-a细胞系构建实验模型，通过对感染后的细胞功能（增殖和黑色素合成）进行研究，首次阐明了Wnt5a对黑色素细胞功能的影响，并从基因表达方面探讨了其中的信号途径的转导机制。文章具有一定的科学意义，补充了该研究领域的空白。文章不仅为Wnt信号通路的研究提供了新的材料，并可为临床上黑色素相关疾病的治疗和预防提供新的思路。
苗药头花蓼药渣饲养蝇蛆的营养价值评价,生命科学,贵阳医学院,本实验通过回收药渣（头花蓼）来饲养蝇蛆，观察药渣饲养蝇蛆的生态学指标以及测定蝇蛆体内各种营养成分含量。结果表明药渣饲养蝇蛆，其生长状况良好，体内各种营养成分含量与传统麦麸饲养的蝇蛆体内各种营养成分接近。说明药渣可代替传统的麦麸来饲养蝇蛆，其应用价值理想。
吉林省部分地区羊附红细胞体病的流行病学调查,生命科学,延边大学,本试验以提纯的26Ku羊附红细胞体抗原为诊断抗原，用ELISA方法对吉林省四个县市的296份羊血清样本进行了羊附红细胞体抗体的检测，旨在为羊附红细胞体病提供较为可靠的流行病学资料，以便对该病的流行采取有效的防控措施。
水飞蓟宾抑制乙酰胆碱酯酶和淀粉样蛋白沉积双靶点治疗阿尔兹海默病的探究,生命科学,中山大学,本实验首先CNPD中筛选出黄酮类化合物，再采用基CADD筛选出一种能够多靶点治疗AD的黄酮类化合物水飞蓟宾（SIL）。为了探究SIL是否具有抑制Aβ沉积和胆碱能系统退变的功能，本实验首先进行分子动力学模拟，再采CD、TEM、电生理膜片钳实验进行体外验证，最后SIL注射入转基因AD小鼠中，通过水迷宫观察AD小鼠智力是否有提高，采用ELISA、免疫荧光、基因枪等观察其对AD小鼠脑内神经的影响。
斜脉暗罗、乌药、细基丸、牛蹄豆4种药用植物质量标准建立及活性成分测定,生命科学,赣南医学院,本项目根据斜脉暗罗（我国特有）、细基丸、乌药、牛蹄豆4种药用植物的特点及所含活性成分建立其质量标准。采用共有峰率和变异峰率指标，建立了乌药红外指纹图谱。测定斜脉暗罗、细基丸、乌药中异黄酮、生物碱、三萜化合物总含量和特征单体化合物（乌药醚内酯）含量；同时测定一棵具有85岁的古牛蹄豆进行挥发性成分。本项目发表论文6篇，其中核心论文4篇。
化学小分子DMU-212抑制血管生成的作用及相关分子机制研究,生命科学,河南工业大学,生理性血管形成对血管的再生、成长和修复至关重要，病理性血管生成是多种疾病的重要特征。探索并研究参与血管生成的新关键因子，将为血管疾病的防治提供新的线索和靶点。本课题利用化学遗传学思路，研究发现DMU-212通过激活PARP、caspase-3和caspase-9，下调Bcl-2和生物素的水平诱导人脐静脉血管内皮细胞凋亡；抑制VEGFR2介导的下游信号来抑制血管生成。
《湖南高望界国家级自然保护区蝶类图谱》,生命科学,吉首大学,作品以图谱的形式共记录了该保护区内的蝴蝶11科88属167种，对每种蝴蝶都配制了正反两面的彩照，对部分种类还拍摄了雌、雄的对照彩片和生态照片。本图谱的编写不仅满足了我校相关专业野外实习的需要，也可作为保护区蝶类资源保护与利用的依据。另一方面，本图谱的编写开创了“高校与保护区合作共建实践教学与科研基地”但“研究成果以学生为主体”的学生科技创新与能力培养新模式。
天然提取物神经保护作用的探索,生命科学,成都医学院,本文通过制备SD大鼠脊髓损伤模型，分别用原花青素、番茄红素和灯盏花素对其进行治疗，分别于第1d、3d和7d对各组大鼠进行运动功能评分、病理学观察、血清学检测和免疫组织化学染色，从运动功能恢复状况和病理形态、抗氧化能力、组织内炎性因子、星形胶质细胞及脑源性神经营养因子的改变状况来综合比较分析三种天然提取物对脊髓损伤的神经保护作用，为三种天然提取物的药物开发和脊髓损伤的药物治疗提供新的思路和理论依据。
基于天然多糖-累托石复合物的改性纳米纤维包装材料及其性能评价,能源化工,华中农业大学,利用天然多糖醋酸纤维素、壳聚糖等天然有机材料和层状硅酸盐无机材料各种的特性，结合静电纺和静电喷等技术将其制备成纳米纤维膜，再通过层层自组装和插层等方法改性其表面，使其在食品领域有着广泛的应用。
基于有机组分及其来源特征分析我国大气颗粒物陆海长距离传输及其影响,能源化工,北京大学,针对我国高颗粒物浓度背景下，颗粒污染物通过长距离传输影响东部海洋甚至日、韩大气环境质量的科学问题，选取我国气溶胶陆海传输路径上的三种典型环境，基于GC-MS膜分析得到其大气颗粒物中75种非极性有机物质浓度，并利用分子示踪物进行了来源分析。结果表明，我国大气颗粒有机物的长距离传输造成的影响集中于国境线以内。为减少陆源颗粒物对于海洋环境质量的影响，应当在内陆重点治理沿海区域的燃煤污染问题。
基于电池的电化学发光便携式传感器设计与制备,能源化工,济南大学,本文在传统电化学发光技术基础上，以常规镍氢充电电池取代传统昂贵的电化学工作站，组建便携移动电源，联用自主开发的便携玻璃或纸芯片，构建基于电池的新型恒电压电化学发光分析系统。设计制造简易双向切换开关，在单工作电极上构建高通量电化学发光传感器，通过简单扭转操作实现对肿瘤标志物CA153和CA199的同时检测。此外，设计合成新型电化学发光试剂—聚芴衍生物，构建DNA传感器，实现对DNA分子的超灵敏检测。
包含平面硒原子层的稀土硒化物及硒氧化物二维纳米晶：RESe2与RE4O4Se3的液相合成与性质研究,能源化工,北京大学,稀土元素的硫族化合物拥有丰富的结构与优良的性质，本文发展了一种在油酸-油胺-十八烯混合溶剂中以二氧化硒为硒源的液相合成三价稀土硒化物及硒氧化物二维纳米晶的方法，获得了RESe2纳米片与RE4O4Se3纳米板两种包含平面硒原子层的二维纳米材料，在合成方法学上取得了重大突破。根据各种表征方法获得了两种纳米材料的晶体结构，LaSe2纳米板的螺旋位错结构，两种纳米晶的形成条件，两类材料的光电性质等信息。
基于碳酸氢根或乙醇胺配位的简单类Fenton催化剂高效处理染料废水的研究,能源化工,武汉纺织大学,印染废水被公认为是最难治理的主要有害废水之一，利用类Fenton技术处理染料废水是当前研究热点之一。本作品通过考察多种简单工业原料和金属离子形成的配合物催化剂降解染料的性能，发现水体中常见的碳酸氢根离子或常用的乙醇胺溶剂与金属钴离子形成的配合物能够在偏碱性范围内作为有效催化剂使用，并对其反应机理进行了详细的研究。作品可为简单、价廉和高效类Fenton催化剂的研制和实际应用提供了理论基础和技术支持。
从含钛电炉熔分渣制备六钛酸钾纳米晶须的研究,能源化工,北京科技大学,本项目旨在运用新型工艺来处理攀钢含钛电炉熔分渣，得到有价组分。为此在国际上首次提出以攀钢含钛电炉熔分渣为原料，以KOH为反应介质，运用水热-酸液冷凝回流-煅烧等工艺实现渣钛高效分离并合成六钛酸钾纳米晶须。整个工艺流程简单成本低、效率高无污染，分离出的固态渣相可用于生产水泥的添加料，钛酸盐中间体经离子交换和水解过程可转化为二氧化钛高附加值材料，为攀钢含钛电炉熔分渣的综合利用提供了一种新途径。
高效绿色合成抗禽流感药物“达菲”原料的技术研究,能源化工,浙江师范大学,为发展抗禽流感药物达菲原料—2-磷酸乙酯丙烯酸乙酯的高效、绿色合成方法，本作品开展了如下工作：1.以卤化锂和醋酸为氢卤化反应体系，更为环境友好；2.采用杂原子作为定位基团控制反应选择性，得到单一产物，提高了原子经济性；3.以所发展的氢卤化反应为工具，通过两步65%的总产率合成了2-磷酸乙酯丙烯酸乙酯，产率大幅提高，成本明显降低，并且不再使用剧毒的五氯化磷，有效降低了毒副残留。
