[作品信息]作品名称,院系,[类别信息]高校,(哲学社科类)[作品信息]简介
高校毕业生工作搜寻行为研究,教育,华南师范大学,"随着我国高等教育大众化进程不断推进,高校毕业生就业难问题日益凸显。研究大学生工作搜寻行为有助于理解和指导高校毕业生就业工作的开展。本文选取广州地区十所具有代表性的高校进行深入调查研究，在工作搜寻理论与保留工资理论的基础上，探究性别、籍贯、专业属性等因素对于高校本科毕业生工作搜寻行为的影响及重要程度，并在此基础上从应届毕业生、学校学院、用人单位及社会不同维度提出改善高校毕业生就业状况的对策。"
高校退伍复学大学生群体适应与发展状况调查报告,教育,安阳师范学院,报告以河南省部分高校退伍复学大学生群体为研究对象，通过实证调查，一方面反映这一群体退伍复学后的生活、学习、心理及人际交往方面存在的问题，另一方面为高校促进教育管理体制创新提供了新的思路。报告总结出退伍复学大学生适应的影响因素及面临的主要问题，并从政府部门完善相关政策制度、高校加强管理服务以及大学生自身观念调整与行为转变等三个方面，就加强退伍复学大学生管理与服务工作提出了对策和建议。
高校学生干部影响力评价模型与实证分析,教育,陕西师范大学,本文通过调查问卷，个别交谈，现场采访，深度访谈等方法，运用spss 软件分析整理1000份学生干部影响力现状的数据信息；基于品行、才能、知识、情感四方面所属子因素进行层次分析，建立模糊综合评价模型，将影响力的模糊性定量化；利用该模型建立电子评价系统，对学生干部的品行表现进行实证分析，给出具体的实践应用；通过镜面监督效应由内而外加强学生干部自我教育，具有一定的现实借鉴意义。
孤独症儿童心智解读能力训练方法的研发与实验,教育,浙江工业大学,本作品直面“人类公敌”—孤独症，对其严重缺损的社交能力进行原因分析，发现与心智解读能力存在密切关系。课题组通过分析孤独症儿童心智解读能力缺损特征，针对性地研发了一套心智解读教育训练方法，并对孤独症儿童进行训练实验。结果发现，这套教育训练方法能有效提高孤独症儿童的心智解读能力，效果明显且持续稳定。本研究有重大社会、民生和科学价值，可惠及数千万孤独症儿童与他们的家庭。
广东高校创业教育现状调查与对策分析,教育,广东轻工职业技术学院, 课题组选择从调查广东大学生的创业意识现状入手，分析广东高校创业教育的存在问题。通过调查分析，总结如下：高校对创业教育重视不够；创业教育师资缺乏；创业教育缺乏实践环节和平台；创业教育内容空洞，缺乏理论研究，不成体系。进而有针对性地提出构建系统创业教育课程体系、培育合格的师资队伍、扶持创业实践类学生社团和打造实践平台四大方面的对策，为高校的创业教育改革提出务实且可行的建议。
留守幼儿学前教育现状调查及对策研究报告,教育,南京晓庄学院,基于对农民工子女“留守幼儿”学前教育状况的关注，团队成员奔赴江苏、安徽等地农村，经过历时近两年时间，通过有关调查研究和参与留守幼儿志愿服务支教活动，获取了大量关于“留守幼儿”前学习能力的数据，整个过程的工作是艰苦细致的。通过调查研究，从留守幼儿成长的需要出发，卓有成效地实施了面向留守幼儿的“非正规”学前教育，具有一定突破意义，值得在高校推广，为培养大学生社会责任感和实践才能提供了成功的范式。
民办初中在贫困地区何以相对繁荣地发展,教育,清华大学,异于一般逻辑，在豫东一带经济欠发达地区，民办初中反而呈现出相对于公办初中的繁荣发展之态。基于河南兰考的调研发现，教育不仅受到经济条件的简单影响；同时还受到政府宽松政策的制度设计和留守儿童的特殊教育需求。本文构建起一个有关地区贫困与民办教育相对繁荣之间的多链条模型，以解释为何民办学校在该地区获得了超越一般常识与逻辑的繁荣发展。最后，本文分析这一繁荣现象的意义所在及潜在问题，并提出相关建议。
推动中小学职前职后教师专业发展的有效路径：课例研修,教育,河北师范大学,本项目立足促进中小学职前职后教师专业化发展的探索，以缓解基层教育不均衡的现状为出发点，研究团队历时两年半的时间借助置换脱产研修项目和顶岗实习的契机，在实践基地建立：基层教师专业发展为动力、地方教育部门为保障、师范类高校为助力的教师专业发展共同体，将师范院校学科教学论团队作为连接纽带，实现教师培训与一线教学实践的对接，以课例研修为路径促进了中小学职前职后教师专业发展一体化机制的初步构建。
推进我国教育公平的一项实实在在的工作,教育,南京师范大学,本作品基于大学生对农民工子弟学校发展建设的状况调研，以南京市农民工子弟学校为研究对象，详细分析了学校成功发展的过程和要素，总结出南京市推进教育公平的种种举措，最终得出结论：南京市在义务教育阶段已基本实现了教育的起点公平，南京市农民工子弟学校对这一梦想的实现做出了值得肯定的贡献。同时，课题组深入分析其发展建设的成功经验，进一步探讨中国教育公平的实现途径，切实推进中国教育公平乃至社会公平的最终实现。
我国研究生教育满意度调查,教育,武汉科技大学,本研究采取分群抽样的形式，对武汉地区14所高校1250名全日制研究生的教育满意度进行问卷调查，通过探索性因子分析和层次分析法构建了我国研究生教育满意度的指标体系和测评模型。利用该模型厘清了武汉地区研究生教育满意度的现状、问题，在此基础上对武汉地区研究生教育满意度进行了分类差异比较研究，并深层次剖析其成因，针对性提出提升我国研究生教育满意度的对策与建议，以期为我国相关部门制定教育政策提供借鉴和参考。
无声唇语“读”世界,教育,华中师范大学,本研究在回顾项目负责人语言学习经历的基础上，通过个案研究来总结她个人双语语音学习的特点与策略；通过实验应用干预研究，将项目负责人的双语语音学习策略应用到其他听障儿童双语语音学习的过程中，来考察镜前练习等口形模仿的干预方式是否具有较高的推广性。同时整理出双语唇读语言训练手册，以期为听障儿童学习汉语和英语提供一个新的思路与策略，提高听障儿童唇读的语言能力，为听障儿童的家长和教师提供指导。
西藏民族学院非西藏生源大学生西藏就业意向调查报告,教育,西藏民族学院,与国内其它地区一样，随着高校不断扩招，西藏高校大学毕业生就业压力越来越大。与此同时，西藏自治区部分行业和许多地区却也面临着人才紧缺问题，亟需从内地引进一定数量的大学毕业生。本研究对西藏民族学院非西藏生源大学生去西藏地区就业的意向进行了调查，并提出了一系列合理化建议。本研究对西藏地区的人才引进和后续管理工作有重要的意义，对于高校促进大学毕业生赴藏就业，拓宽就业渠道，也具有重要价值。
一厢情愿到两情相悦：浙江省高校创业教育模式与发展路径,教育,浙江大学,本作品以浙江三类高校创业教育模式总结与发展路径为切入点，选取浙江省内3所典型院校(研究型大学——浙江大学、教学型大学——温州大学、职业教育型高校——义乌工商职业技术学院)，通过案例研究与实证分析的方法，总结不同类别高校创业教育的成功经验、存在不足和发展困境，并提出理念引领、课程教学、实践模拟、外围支撑“四位一体”的复合发展模式，为浙江省高校创业教育发展提供了合理化建议。
智能化辅助训练系统对自闭症儿童干预训练的应用研究,教育,宁夏大学,"自闭症是一种发展性障碍, 影响个体的社会交往、沟通、学习和适应性功能行为。国内外对自闭症的干预有多种形式，但由于自闭症儿童自身能力的限制，治疗效果并不理想。我们通过调研设计出智能化辅助训练系统，对自闭症儿童进行了干预。研究结果表明，该系统可以促进自闭症儿童的学习迁移，改进患儿在交通安全中的不适当行为，帮助其正确识别交通灯并安全通过马路，同时还能够促进患儿的行为自主性，这对于自闭症儿童来说难能可贵。"
 医学英语中高频医学词汇、词素和词簇的语料库调查,教育,新乡医学院,本研究中利用语料库及检索工具来调查、分析和研究医学英语文本，努力探寻出医学生在医学英语的学习过程中遇到的高频医学词汇。此外，为更好地辅助高频医学词汇的学习，提高学习效率，基于调查筛选的高频医学词汇，借助计算机及人工手段进一步调查筛选出了高频医学词素。高频医学词汇、词素和词簇的调查筛选将有助于更有针对性地进行医学词汇的学习和教学，避免盲目性，节约时间和精力。
“微阅读”时代校园手机报的发展现状和模型构建研究,教育,重庆邮电大学,“微阅读”时代下，校园手机报的出现顺应了大学生阅读行为习惯的嬗变。本作品以“微阅读”时代校园手机报的发展及特点为调研背景，以点面结合的视角，在点上以“重邮e站”手机报作为典型个案进行探讨，究其实际运行现状具体剖析；在面上以全国部分高校校园手机报为样本进行分析，发现问题并提出对策。在此之基础上，构建出未来校园手机报模型——“微校园”APP手机客户端，构建出未来校园信息畅通的个性化“一站式”服务平台。
高中生金融素质现状分析与改善途径探讨,教育,西南财经大学,本项目通过实地调研方式，旨在研究成都市高中生金融素质现状并探究影响高中生金融素质水平的相关因素。本文运用AHP（层次分析法），将构成成都市高中生金融素质的各个可能因素通过划分为相互联系的有序层次，使之条理化。进而建立数学模型，通过所有层次之间的总排序计算所有元素的相对权重。最后运用方差分析和假设检验确定影响因子对高中生金融素质影响的显著性，并以此作为建议依据。
关于“高校志愿者关爱农民工子女志愿服务新模式构建”的调查研究,教育,河北师范大学,为加快解决当前新型城镇化建设中关爱农民工子女难题，笔者提出建立高校关爱农民工子女志愿服务活动新模式——“5E”模型，即通过多层次、多角度、多视野的新型执教形式对农民工子女进行志愿服务，同时建立互爱互享平台，使他们感受到来自同伴的关爱。“5E”模型在推广过程中，受到了被服务小学师生、高校青年志愿者、农民工乃至社会的广泛赞誉。为实现其长足发展，我们更将不断此完善服务机制。
进一步推进法学专业实践教育探索的思考,教育,北京航空航天大学,大学阶段的社会实践活动是学生了解社会、融入社会、服务社会的重要途径，实践教学是社会实践一种重要类型。法学是应用性社会科学，其生命力在于实践性。近年来，法学实践教育受到越来越多的关注，高校法学院在实践教育方面进行了积极的探索。本项目通过对国内十所高校法学院学生的采访，从学生角度分析当前法学专业实践教育开展的效果、取得的成绩与存在的问题，对如何更好的开展法学专业实践教育提出了自己的建议。
闽台文化产业专业人才培养模式比较及其互补性前瞻,教育,福建师范大学, 基于文化产业蓬勃发展和两岸合作交流的时代背景，在收集历年来闽台高校文化产业专业方面的资料的基础上，调查文化产业用人单位和该专业的学生，以结合市场需求，从培养目标、师资配备、课程设置、实践性教学环节四个方面对闽台高校文化产业专业进行比较研究，以挖掘两岸可供相互借鉴的培养体系；再结合闽台高校专业建设存在的问题，从而为双方提出可行性的建设方案。
农民工继续教育：敢问路在何方？,教育,扬州大学,农民工在我国工业化、城镇化、现代化进程中发挥着不可或缺的作用，但其职业素质的发展、提高却很少得到关注。本研究在长三角地区12个地级市针对农民工继续教育诉求发放问卷4000份，并走访地级市人社部门。调查发现，农民工继续教育诉求强烈，但是满足农民工继续教育诉求却存在诸多制约因素。须建立多层次、全方位的农民工继续教育合作体系，方能有效开展农民工继续教育。
首批“国医大师”成功要素的调查报告,教育,长春中医药大学,2009年，我国首次评选出30名国医大师，现大都年事已高，我们针对全国各界名老中医（包括2009年获得首批“国医大师”称号的中医专家）进行探访与调查研究。探索其耐人寻味的中医成功之路。调研的主要目的是研究国医大师的成功要素，通过资料收集、分类整理，再现“国医大师”们的发展与成功历程，总结出国医大师成功要素中的共通性和规律性，为青年中医学子的成长成才提供可借鉴性的文献资料。
天津市城乡义务教育均衡发展现状研究,教育,天津师范大学, 现今，城乡义务教育均衡发展问题越来越受重视，本研究以天津市为例，在运用文献查阅法比较天津城乡义务教育硬性资源（如经费、学校设备、教师人数）配置差异的基础上，运用问卷调查法和访谈法研究软性教育资源（如教师教学水平）的配置现状，先综合比较天津城乡义务教育硬性教育资源和软性教育资源的差异，再分析差异的成因，并在此基础上提出进一步缩小差异的对策及建议，为今后的相关研究提供一些参考。
勿让孩子“赢”在起跑线上,教育,南京师范大学,本项目以幼儿教育“小学化”现象为研究对象进行大量实证研究，观察27所幼儿园，访谈与“小学化”相关的七方（幼师、小学教师、园长、家长、小学和学前教育专家、官员）256位，发放799份问卷；在13篇报告成果中，我们全面展现“小学化”现状，创设模型分析“小学化”原因，提出了改变“小学化”现象的建议，展示了在2所幼儿园实施半年的去“小学化”行动研究，通过“小学化”，透视了当前中国教育现代化的矛盾与困惑。
系统论视角下的锦州青少年法制教育研究：现状、问题与对策,教育,渤海大学,青少年的法律意识水平直接关系到我国依法治国、建设法治国家的进程。基于社会调查发现，锦州青少年法制教育工作取得了一些成绩但也面临着诸多困境。本报告以系统论为着眼点，从整体上对青少年法制教育工作体系进行分析，并通过问卷采集与定向访谈、辅以文献研究、比较研究等方式，在时代背景下客观地认识其现状，分析新时期青少年对法制教育服务的需求，为其工作的开展和深化提出符合本地实际情况的可行性建议。
信息时代学习型组织的建设策略研究,教育,华南师范大学,“十八大”和《国家中长期教育改革和发展规划纲要（2010-2020）》强调要建设学习型社会。建设好学习型组织有利于形成学习型社会，符合国家宏观政策导向。成果在“天河部落”教育信息化平台及学习型学校、中共揭阳市委学习型机关、深圳航空公司的学习型企业等各类学习型组织中得到采纳应用，效果优秀，已发表系列论文4篇。研究问题：在社会网络分析的视角下，实施怎样的策略能够有效地提升信息时代学习型组织的协作成效？
形式均衡与实质均衡：县域义务教育均衡发展的调查研究,教育,武汉理工大学,本研究依据教育部指标体系对掇刀区义务教育均衡发展状况进行调研，并提出“形式均衡—实质均衡”概念。采用假设检验等方法得出该区已实现义务教育形式均衡，公众对此高度满意，五大因素对满意度有所影响。实质均衡层面存在不足，可采用解决教育用地、高效利用资金、健全监督体系、补充新鲜血液、完善激励机制、提供多方支持、组建志愿群体等七大措施改善。中部地区可采用完成各项指标、打破二元结构等五大方法发展义务教育均衡。
医患矛盾对于医学生职业选择的影响研究,教育,复旦大学,为了解医学生看待和处理医患矛盾的方式，医患事件和社会舆论对他们的学习成长和工作状态产生的影响以及他们的需求，我们开展了两阶段为期一年的调查。第一阶段为深入访谈，先后与7所医院的47名医学生和青年医生进行一对一交流，形成共计10万余字的访谈稿，第二阶段为同题问卷，调查了上海市高校的385名医学生和711名普通学生，定量分析了医患矛盾对于医学生的作用机理以及医学生受到的影响，并由此提出我们的意见建议。
灾后少数民族学生转移就学机制研究,教育,河北科技大学,2010年4月，玉树地震后，5074名学生转移到河北等七省市就学，转移就学如何实现及对转移学生的影响，是我们的研究目的。团队对转移到石家庄玉树民族中学的286名藏族学生进行长达一年半跟踪调查，并前往玉树灾区进行调查回访，在此基础上，一是构建了“触发—实施（规划、动员、对接）—复原”的理论框架；二是对整个转移就学过程进行深入分析，得出了转移就学的优点和不足；三是就完善该机制提出建议。
志愿者支教服务事业现况的调查研究,教育,沈阳建筑大学,支教事业由于缺乏规范和识误差，导致支教活动良莠不齐，甚至给支教地区带来危害，这些由于社会，支教地点，支教队员等因素造成的问题，在支援教育普遍化的今天变得亟待解决。调查通过详实的数据，结合优秀支教团队的总结经验，对大学生支教事业提出对策性建议，旨在推动大学生支教事业的良性发展。
中小学教师学习自主性的调查研究,教育,山西师范大学, 教师学习是教师个体的、内在的、主动的专业提升过程，只有充分发挥教师自主性的学习才是真正意义上的教师学习。教师学习自主性是教师专业发展中最具活力的因素。研究中小学教师自主学习对促进教师专业发展、深化基础教育改革有一定的价值和意义。
重庆市义务教育阶段农村寄宿制学校优化管理研究,教育,西南大学,从对农村寄宿制中学学生管理现状的实地调查切入，利用SWOT模型深入分析农村寄宿制中学管理的现状，探索农村寄宿制中学管理的优化方式。通过调查分析和文献研究发现问题，分析问题，进而解决问题，首先全面分析了农村寄宿制中学管理的优势、劣势，以及机遇与挑战，得出虽然现在寄宿制学生管理取得一定的成绩，但也存在饮食、住宿、安全、教学、医疗、心理等管理方面的问题，针对这些问题提出规范管理、人性管理的合理化建议。
走进被遗忘的角落 ,教育,山东师范大学,在呼唤教育公平的今天，教学活动中仍存在着不公平的教育。而在小学教学活动中，有这样一群在班级中成绩中等，在人际交流、师生互动、行为表现等方面不突出的“非主流生”被忽视，甚至被遗忘。本研究采用质性研究，了解他们内心的真实感受，探索成为“非主流生”的原因、动力机制和过程，试图找到使“非主流生”回归主流的有效途径。
“二元融资结构”下区域性民间金融风险的传染机制,经济,浙江工商大学,本文基于民营企业的“二元融资结构”特征，将其纳入理论分析框架，修正传统的融资网络模型，并结合浙江地区的典型案例探讨区域性民间金融风险的传染机制及其影响因素。研究发现：1.“二元融资结构”不仅会引发民间金融风险传染，更会在整个传染过程中加速风险的扩散；2.网络平均中心度越小，企业间的借贷链条越易断裂；3.企业相互依存度对网络风险传染有非线性正向影响，而企业自有资本率的提高可以弱化融资网络风险的扩散。
关于陕西省农村耕地资源闲置及其科学利用的社会调研,经济,西北大学,作品通过问卷调查、走访、上访等调研方式实地调查了陕北、关中和陕南三大典型地区农村耕地闲置现状，获取了大量翔实的农村耕地利用数据，并对耕地资源闲置的危害、成因进行了深入剖析，针对陕西省三大地区耕地闲置的具体原因，结合目前国家的耕地政策，从政府、社会、农民等多层次提出了为较为完善的耕地闲置解决对策。以期为以陕西省为代表的西部广大农村地区的闲置耕地资源利用及减缓闲置形势提出科学有效的对策。
行走在城市边缘的人,经济,山西大学,随着城市化进程的加快，棚户区改造逐渐成为不可忽视的重要一环。由此，生活在城市边缘的棚户区居民逐渐进入人们的视线。了解他们的生活、收入、消费情况以及亟待解决的问题对棚改工作顺利高效地进行至关重要。本作品就如何提高棚户区居民的收入进而拉动其消费，并推动太原市经济增长为目的，详细的了解了太原市棚户区居民的收入与消费情况以及他们的生活水平，为太原市棚改工作的进行提供可供参考的意见与建议。
吉布逊谜团与费雪效应,经济,广东商学院,本文利用我国内地29个省（市）1996年1月-2012年9月期间的居民消费价格指数（CPI）和银行间7天同业拆借加权平均利率（I）的月度数据，在对其进行空间滤值处理基础上，使用面板协整检验我国是否存在吉布逊谜团，且应用广义最小二乘法分段估计我国的费雪系数，进而建立面板误差修正模型来检验利率与物价长、短期因果关系和利用脉冲响应函数分析其的动态关系。希望能给国家宏观经济政策和利率市场化提供借鉴与参考。
金融生态视角下小微企业民间融资调查报告,经济,安庆师范学院,从金融生态视角对小微企业民间融资状况进行分析，特别是从资金供给方与需求方析小微企业民间融资问题。从需求方看，抵押担保是限制小微企业向银行融资的主要因素；小微企业普遍有民间融资意愿，但融资利率偏高；从供给方看，银行亟需金融服务创新；小贷公司发展面临困境，需通过转型来创新发展方式。解决小微企业融资困境，必须优化民间金融生态环境，制定民间融资法，推广无形资产抵押和租赁融资，开发产业链金融与互联网金融。
来沪务工人员消费和储蓄倾向的实证分析,经济,上海金融学院,本作品基于2088份有效问卷的调查结果，分析发现该类人群的消费仍倾向于满足低层次的生存需要，储蓄则是为了应对“学有所教、病有所医、老有所养、住有所居”等基本公共服务需求。作品挖掘了影响消费和储蓄倾向的主要因素；并预测了来沪务工人员拉动内需的具体数额。以此为基础，提出了解决来沪务工人员后顾之忧的具体对策，从而服务于转型经济发展和内需社会构建。
辽宁省新型工农、城乡关系调查研究,经济,辽宁师范大学,本文以工农二元结构为出发点，探讨了城乡一体化指标评价体系，据此对辽宁省14个城市2000、2005和2010年城乡一体化的状况进行了评价；并对辽宁省各城市2000——2010十年间城乡二元经济结构强度及其演进过程进行了实证分析，并根据十八大、两会新形势下新型城乡工农关系部署，结合辽宁特征，提出了软化辽宁省城乡二元经济结构实现城乡一体化目标模式的对策。
农村土地流转现状分析及实地调研,经济,西安财经学院,土地问题是一切农村问题的根本，土地制度是农村土地流转的制度基础，决定了农村土地流转的性质、内涵与外延，所以农村土地流转是对现有农村土地制度框架的完善与补充，而造成农村土地流转问题的原因是多层面、多维度的。
农户对良种补贴政策的感知与决策行为研究,经济,华中农业大学,使用2011年和2012年在小麦主产区山东、河北、河南与湖北四省365个农户的调查数据，借助离散选择模型研究了农户对于良种补贴方式的感知倾向，以及良种补贴对于是否选用政府推介良种和是否扩大小麦种植面积两项种植决策行为的影响。研究结果表明，良种补贴能够显著的促进农户选用良种，但对于稳定小麦种植面积的效果不显著，未能达到预期的政策目标。建议在坚持执行良种补贴政策的基础上，提高补贴标准，选用高品质良种。
人口结构会影响国际资本流动吗？,经济,首都经济贸易大学,本文将人口结构提升为影响国际资本流动的最重要的因素之一进行探讨，采用面板单位根检验、面板协整检验、系统广义矩估计模型、混合最小二乘模型、固定效应模型、似无相关模型等实证分析方法，对一个基于全球126个国家形成的全球面板数据进行分析和研究，寻找人口结构对于国际资本流动影响的证据。并在文章最后应用本文理论对未来100年的全球资本流动趋势进行了预测，为这一问题的研究提供了新的思路和角度。
山区特色农产品发展战略研究,经济,湖南商学院, 山区特色农产品，即适合在山区生长、具有区域特色的农产品。本课题选取湖南省永定区、石门县、桂东县和新宁县四地，将桃子、柑橘、玲珑茶和脐橙作为调研对象，采用比较优势分析法，对特色农产品竞争力进行评估，结合前文提炼出影响山区特色农产品发展的因素，并进行因子分析。根据制约山区特色农产品发展的原因、影响山区特色农产品发展的主要因素，从一村一品等八个方面系统提出发展山区特色农产品的对策与建议。
社会资本视角下农村劳动力外流对农业收入的影响,经济,上海财经大学,结合上海财经大学2011-2012对1819个村的实地调查，依次研究了社会资本视角下农业劳动力外流对农业收入的影响、农户务工的内部选择机制、社会资本对外出务工群体和留守务农群体的影响。劳动力迁出对农业收入总影响消极，而江浙沪的负效应小于全国；教育和培训促进农业收入；丰富的文化和完备的金融市场可减弱外出务工动机。根据结论，提供了促进农业收入增长和引导劳动力资源合理配置的政策建议。
新疆农村地区金融排斥问题分析及治理对策,经济,新疆财经大学,本文以新疆农村地区为研究区域，研究及剖析新疆农村地区金融排斥的问题。为了更好的提高新疆农村居民获得金融产品可得性的方法，提高金融服务的质量和效率，构建一个有效惠及普通农户、满足农户金融需求、保障农户金融权益、消除金融排斥现象的农村金融体系。
新型职业农民培育：模式创新与政策考量,经济,河南工业大学, 新型职业农民事关未来“谁来种地”的问题，培育新型职业农民就是培育粮食安全和农业现代化的未来。作品以新型职业农民培育为视角，围绕培训模式创新和扶持政策优化主线，从新生代农民战略使命、新型职业农民培育工程及政策效果评价等方面，选取农业部首批新型职业农民培育粮食主产区（河南）试点县百村农户进行调研，力求回答“怎么种地”、“如何种好地”等事关新型农业现代化建设的根本问题。
信用共同体“贷”动小微企业创富梦,经济,江西师范大学,本项目于2011年启动，先后形成了两份前期成果并获奖。2013年，项目团队进一步改进问卷设计和调查方法，继续在江西省调查了小微企业融资难的表现和江西省农信社“信用共同体”贷款模式在余江县的运作实践。研究发现：小微企业融资难的根本原因是其信用不足；“信用共同体”贷款模式所构建的同行业互助担保机制，可将民间信用转化为银行信用，相对有效地破解了小微企业信用不足的问题，为金融改革提供了一种新思路。
中部六省省会城市金融集聚与区域经济增长耦合发展研究,经济,南昌大学, 随着金融业的快速发展，金融集聚对区域经济增长的影响越来越凸显。基于这种背景，本作品构建了中部六省省会城市金融集聚与区域经济增长综合评价指标体系，并建立了耦合度函数和耦合匹配度函数，划分出耦合系统匹配度类型。在此基础上，对2010年中部六省省会城市金融集聚与区域经济增长之间的耦合协调度进行了实证分析。结果表明，中部六省省会城市金融集聚与区域经济增长之间的耦合协调性存在较大差异。
中国农村居民信息消费现状及差异性研究,经济,南京邮电大学,在对全国信息消费现状探究的基础上，以江苏省为例，对苏南苏中苏北农民的信息消费水平、结构、意愿和行为的差异及原因进行探讨，同时发现江苏省农民的信息消费边际倾向和人均收入呈倒“U”型关系，农民信息消费和农业信息化、现代化和产业化存在显著的线性关系。根据结论，从缩小地区之间信息消费差异；提高江苏农业信息化、现代化，促进产业发展，带动信息消费；引导和创造信息消费三方面对相关部门提出相应建议。
中心镇改革推进新型城镇化的路径探索,经济,浙江师范大学,作品围绕“如何通过中心镇改革创造的新‘改革红利’以推进新型城镇化”这一问题，遵循“基础研究→现状分析→实证归纳→模式拓展”的研究思路，以浙江15个中心镇为调研对象，重点研究中心镇改革推进新型城镇化的动力机制、技术路径与实践模式，进而提出中心镇改革推进新型城镇化的对策建议与经验借鉴。研究表明，中心镇是新型城镇化的战略性节点，中心镇创造的新“改革红利”是推进新型城镇化的重要动力机制。
“金溪现象”：中部县域经济崛起的探索,经济,江西师范大学, 江西金溪县是中部地区典型“三缺”小县，其重点培育的香料香精产业，不仅成为该行业的“后起之秀”，更成为当地经济的重要支柱。课题组对该产业集群的兴起与发展过程进行多次调研后，凝炼出“金溪现象”概念，即欠发达县域政府通过发现、承接、组织和培育产业集群，并使它在本土具有根植性，从而实现县域经济的快速崛起。作品进一步分析“金溪现象”的成因及政府发展产业集群的经验，为中部县域经济崛起提供借鉴。
对新兴产业集群的调研分析,经济,辽宁工业大学, 本项目用基尼系数和区位商法的计算方法，分析了锦州市光伏产业集群的发展，并用SWOT分析法对锦州光伏产业集群的优势、劣势、机遇及威胁进行了分析，对劣势和存在问题提出了相关的战略与对策。为了更好地发展光伏产业集群，各级省政府及相关部门应加大对光伏产业集群发展的扶持和服务力度，光伏产业集群自身也要进行产业优化，保持能源优势，改进所存在的问题和缺陷，从而更好地加快锦州光伏产业集群的发展。 
鄂西生态文化旅游圈水利旅游可持续发展策略研究,经济,三峡大学科技学院,选取鄂西地区大中小三个典型的水利风景区，通过实地调研和建立数学模型对其可持续发展状况进行评价，以点代面地分析鄂西生态文化旅游圈水利旅游可持续发展的现状，并根据数学模型的计算结果结合实地调研针对其存在的问题提出意见和建议。
废弃数码产品的逆向物流方案设计,经济,深圳大学, 本文基于废弃数码产品的回收现状设计了一个可行性高的逆向物流方案，共由三个部分组成，即自动回收机回收、网上回收平台回收、二手数码产品买卖展会。回收到的废弃数码产品将由专业的电子垃圾处理厂无害处理。此方案由一个以提供广告等服务获得主要收入的公司运营，经分析，此公司能在完成回收任务的同时获得一定的收益。
关于发展环京津乡村旅游圈的研究,经济,东北大学秦皇岛分校,团队经过针对游客、经营者与政府管理者的调研，并辅以多种方法对数据进行分析，利用层次分析法，通过yaahp V6.0 软件对影响环京津乡村旅游圈的因素进行评价。最终总结得出影响环京津地区乡村旅游的三大微观因素（产品、宣传、基础服务设施）和两大宏观因素（管理、战略和目标），针对性的提出了创新性的产品模式、市场推广策略、交通体系构建策略、保障体制的建立健全措施。
光伏下乡可行性与应用前景的调查与研究,经济,华北电力大学(北京),为了应对美国“双反”关税和欧盟“双反”调查对中国光伏产业的打压，工信部正在牵头组织制定“光伏下乡”计划。本作品基于当前形势，研究计划的可行性与应用前景。一方面，选取具有代表性的北京市大兴区礼贤镇进行实地调研和问卷调查，探究其可行性；另一方面，在光伏下乡应用形式中选取典型的光伏大棚进行经济效益分析，展望其应用前景。经过深度挖掘发现推行“光伏下乡”计划的潜在问题，提出合理的建议，以供工信部参考。
湖北省“湖泊文化”创新及其产业化的开发与研究,经济,武汉科技大学城市学院,本团队对湖北省“湖泊文化”的历史、现状及其价值体系进行深入分析。针对目前对“湖泊文化”重视程度不高、开发程度不够等问题，结合湖北省“千湖之省”和楚文化源远流长的有利条件，提出了旨在弘扬“湖泊文化”，促进“湖泊文化”产业化保护性开发的发展方案。致力于在“湖泊文化”领域打造一个以旅游文化产业为主导的产业化集群，加快推进湖北省由文化资源大省向文化强省的跨越式发展，对建设和谐社会和中部崛起具有重要意义。
基于Logistic曲线模型旅游目的地品牌效用分析,经济,贵州财经学院,文章以系统科学和旅游地生命周期理论为指导，旅游目的地品牌系统各要素在演化过程中相互耦合形成的最终结果表现在游客量的变化上。实证分析中，运用Logistic模型对“多彩贵州”这一品牌提出前后对比差值，即为旅游目的地品牌效用。之后文章从旅游经济效用和旅游业在第三产业的变化等方面进一步分析旅游目的地品牌效用。文章从理论借鉴到定量分析都为研究旅游目的地品牌效用具有借鉴意义。
家庭农场：现代农业经营模式创新,经济,宁波大学,家庭农场是联产承包责任制的发展和升级。通过对68个宁波家庭农场的调查，分析其形成、现状与运营，提炼其特色，借鉴发达国家家庭农场发展之经验，揭示家庭农场是我国现代农业经营模式的创新，能够实现新主体、新制度、新农民、大产业，是我国农民的又一伟大创举。同时，对处于探索阶段的我国家庭农场发展面临的户籍、雇工、工商资本介入、以个体工商户注册、农场土地抵押融资等有争议的问题做了探讨。
青岛蓝色硅谷院园集群创新研究,经济,中国海洋大学,本项目通过实地调研青岛蓝色硅谷院园和国家海洋科学技术中心实验室的建设现场，走访青岛国信集团和周边的科研院所、企业和村庄，从理论层面上分析了高科技院园及产业的集聚效应，借鉴了美国硅谷等高科技园区发展的成功经验，全方位探讨了青岛蓝色硅谷建设中的高校、科研院所、企业、社区的统筹管理创新模式，以期对于青岛蓝色硅谷和山东半岛蓝色经济区的建设具有一定借鉴意义，同时为支撑中国蓝色经济的崛起发展提供一定参考。
